Sensor,Result,Time
,32.0,0
Water Temp,25.25,08/03/2022 21:35:58
Water Temp,25.25,08/03/2022 21:36:04
Water Temp,25.25,08/03/2022 21:37:31
Water Temp,25.25,08/03/2022 21:37:37
Water Temp,25.25,08/03/2022 21:38:57
Water Temp,25.25,08/03/2022 21:39:03
Water Temp,29.8125,08/03/2022 21:41:39
Water Temp,30.625,08/03/2022 21:41:45
Water Temp,25.0,08/03/2022 17:50:07
Water Temp,25.0,08/03/2022 17:50:13
Water Temp,23.625,08/03/2022 19:14:12
Water Temp,23.5625,08/03/2022 19:14:18
Water Temp,23.875,08/03/2022 19:16:42
Water Temp,23.875,08/03/2022 19:16:48
pH,0.0,10/05/2022 21:26:47
pH,0.0,10/05/2022 21:29:43
pH,5,10/05/2022 21:32:53
